system:index,avg_rad,.geo
106_0,0.37083334,"{""geodesic"":false,""type"":""Point"",""coordinates"":[89.81131631805947,30.43716761417969]}"
107_0,0.3125,"{""geodesic"":false,""type"":""Point"",""coordinates"":[85.0457537358054,10.247531603593442]}"
108_0,0.23333333,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.41643064200608,17.91465255355356]}"
109_0,0.20166667,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.54219478178281,11.931872761317544]}"
110_0,0.27583334,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.01444204681768,8.78776926689922]}"
111_0,0.27166668,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.5646526638858,19.428313807294952]}"
112_0,0.43583333,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.3430732234397,34.71314836658861]}"
113_0,0.6766667,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.55866889162839,27.315522001864352]}"
114_0,0.47833332,"{""geodesic"":false,""type"":""Point"",""coordinates"":[81.80732713655453,37.53834993514451]}"
115_0,0.26833335,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.51125614175429,7.220209096110654]}"
116_0,0.28666666,"{""geodesic"":false,""type"":""Point"",""coordinates"":[70.65474288421066,16.72887637851579]}"
117_0,0.30833334,"{""geodesic"":false,""type"":""Point"",""coordinates"":[70.88830485808174,9.771424503010095]}"
118_0,0.77,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.9329619303748,23.982772297780926]}"
119_0,0.47333333,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.70290173200317,36.14596124475925]}"
120_0,0.37916666,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.50875915608616,29.38164715533925]}"
121_0,0.32916665,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.9034011291368,18.215588173733597]}"
122_0,0.39416668,"{""geodesic"":false,""type"":""Point"",""coordinates"":[69.14108163046927,29.6646164698369]}"
123_0,0.6091667,"{""geodesic"":false,""type"":""Point"",""coordinates"":[91.16777239707994,22.554450996030887]}"
124_0,0.29583332,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.08006480537692,10.337363132005395]}"
125_0,0.48499998,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.54394566953253,17.76193895525324]}"
126_0,1.3233334,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.65586203108828,13.692570718191806]}"
127_0,2.2375,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.48730606381449,22.77004666421957]}"
128_0,0.40583333,"{""geodesic"":false,""type"":""Point"",""coordinates"":[95.99621704922237,29.06723680589742]}"
